Left Min,Right Min,Left Max,Right Max,Left Mean,Right Mean
102,105,113,109,107.5,107.875
105,106,113,110,107.375,107.708333333
105,106,112,112,107.833333333,108
105,106,114,110,108.458333333,108.125
103,105,111,111,106.458333333,108.125
104,104,113,109,107.208333333,107.208333333
103,106,114,112,107.583333333,108.666666667
104,105,110,111,106.916666667,107.833333333
105,105,110,109,107.083333333,107.416666667
105,106,111,111,107.875,108.166666667
104,105,109,110,107,107.791666667
105,104,110,110,107.333333333,107.166666667
104,105,109,110,106.833333333,107.708333333
103,105,111,109,106.541666667,107
104,104,109,109,107,106.916666667
105,106,111,110,107.541666667,107.916666667
103,103,108,109,106.083333333,106.5
103,105,110,110,107.125,107.333333333
104,106,109,111,106.75,108.041666667
104,105,109,111,106.583333333,107.458333333
103,105,109,111,106.833333333,107.583333333
104,105,112,110,107.75,108.083333333
103,105,112,110,107.208333333,107.5
105,106,111,111,107.875,107.833333333
104,105,111,110,107.083333333,107.375
105,105,111,109,107.416666667,106.875
106,106,114,110,108.375,107.916666667
105,104,112,109,107.208333333,107.208333333
104,105,114,110,106.541666667,106.375
105,106,113,110,107.958333333,107.583333333
104,105,111,110,106.791666667,107.958333333
104,105,111,109,106.916666667,107.166666667
103,105,111,111,107.041666667,107.666666667
102,106,109,111,106.416666667,107.708333333
104,104,110,110,106.541666667,107.083333333
105,105,111,110,107.291666667,108
103,105,109,109,105.791666667,106.958333333
104,105,109,109,106.416666667,107.333333333
103,106,111,110,106.916666667,108.125
104,106,109,110,106.166666667,107.791666667
104,103,111,108,106.666666667,106.25
105,105,110,110,106.833333333,107.625
103,104,110,110,105.958333333,107.375
103,105,110,109,106.166666667,107.25
104,105,110,112,106.666666667,107.458333333
103,105,109,109,105.791666667,107.208333333
104,105,109,110,106.458333333,107.083333333
104,106,110,110,106.416666667,107.875
103,105,109,109,106.041666667,106.5
104,105,109,110,106.416666667,107.666666667
103,105,110,109,106.083333333,107.75
102,104,108,110,105.291666667,107.166666667
105,105,109,110,106.916666667,106.833333333
104,106,109,110,106.375,107.875
103,105,112,111,105.666666667,107.25
103,104,109,110,106.375,107.333333333
104,106,109,110,106.625,107.5
103,105,109,109,106.083333333,107.166666667
103,106,112,110,106.916666667,107.583333333
103,107,107,111,105.375,108.375
104,106,110,110,106.791666667,107.625
105,105,111,110,107.333333333,107.791666667
103,105,110,110,106.416666667,107.708333333
104,103,109,109,106.333333333,107.458333333
105,105,110,110,106.833333333,108.125
105,106,109,109,106.416666667,107.625
105,105,109,110,106.666666667,107.125
104,106,109,111,106.25,107.583333333
103,105,109,109,106.041666667,107.5
104,105,109,109,106.458333333,107.291666667
104,105,110,110,107,107.791666667
101,104,108,110,105.125,107.208333333
104,105,109,110,106.375,107.458333333
104,106,110,111,106.625,108.125
103,106,109,110,105.916666667,107.708333333
104,105,111,109,105.958333333,107.125
104,106,111,111,106.75,108.541666667
104,106,109,110,106.541666667,107.666666667
103,105,110,109,106.791666667,107.291666667
104,104,109,110,106.291666667,107.208333333
103,106,111,110,106.416666667,107.666666667
104,106,109,110,106.875,107.291666667
104,107,112,110,107,108.416666667
103,104,108,109,105.416666667,106.625
104,105,111,110,107.333333333,107.333333333
104,106,110,110,106.333333333,108.166666667
103,105,110,109,106.625,107.041666667
102,106,109,110,106.541666667,107.458333333
103,106,110,111,106.458333333,108.166666667
104,106,109,109,106.541666667,107.333333333
104,106,112,111,107.375,108.416666667
103,104,109,110,106.541666667,107.666666667
104,106,111,110,107.041666667,107.416666667
104,106,111,109,107.583333333,107.625
105,105,110,110,106.916666667,107.666666667
104,106,110,109,106.958333333,107.083333333
104,105,111,111,106.958333333,107.791666667
103,106,110,112,106.625,107.916666667
104,105,111,110,106.75,107.458333333
104,105,110,111,107.166666667,107.75
103,106,110,110,106.125,108
106,103,111,109,107.375,107.291666667
106,105,110,109,107.583333333,107.791666667
104,105,111,110,106.458333333,107.291666667
104,105,111,111,106.916666667,107.291666667
104,105,110,110,107.291666667,107.541666667
103,106,109,110,106.291666667,107.5
104,105,111,110,107.375,106.75
103,106,111,110,107.458333333,107.875
103,105,109,111,106.041666667,107.041666667
104,105,109,111,106.833333333,107.333333333
103,106,109,110,106.041666667,107.708333333
103,104,110,110,106.416666667,107.25
104,106,110,110,106.291666667,107.541666667
103,106,110,110,106.583333333,108
104,106,109,109,106.75,107.208333333
105,106,110,111,107.291666667,107.708333333
104,106,111,110,106.833333333,107.791666667
103,105,109,111,105.583333333,107.5
104,105,113,110,107.458333333,107.333333333
104,105,111,111,107.333333333,107.875
104,105,109,110,106.541666667,107.333333333
103,105,109,110,106.583333333,107.458333333
104,105,110,112,106.666666667,107.75
103,105,108,109,105.75,107.333333333
105,105,110,111,107.125,107.625
103,106,108,110,105.708333333,108.166666667
103,105,111,110,106.458333333,107.125
105,106,110,110,107,107.416666667
102,106,111,110,106.583333333,107.833333333
103,105,109,110,105.5,107.5
103,105,110,111,106.625,107.458333333
104,105,109,109,107,107.5
103,106,109,110,105.916666667,107.583333333
103,105,110,110,106.083333333,107.083333333
104,106,110,111,106.666666667,107.916666667
103,104,113,110,106.166666667,106.875
104,105,111,109,107.208333333,107.125
102,106,108,110,105.666666667,107.375
103,105,109,108,106.25,106.5
105,105,110,110,107.291666667,107.416666667
104,105,109,110,106.208333333,107.416666667
103,104,108,109,105.708333333,106.875
104,106,111,110,107.416666667,108.041666667
103,106,109,110,105.75,107.958333333
103,104,111,109,106.5,106.916666667
104,104,110,111,106.5,107.25
103,105,109,112,106.666666667,107.833333333
103,105,110,109,106.375,107.041666667
105,105,111,111,107.666666667,108.333333333
104,104,108,109,105.916666667,106.916666667
104,104,112,109,107.083333333,107.166666667
104,106,109,110,106.916666667,107.75
104,105,109,110,106.416666667,107.25
103,105,111,109,106.166666667,106.916666667
104,106,109,110,106.875,107.75
103,104,110,111,106,107.416666667
105,106,112,110,107.458333333,107.375
104,105,110,110,106.708333333,107.541666667
103,106,110,110,106.708333333,107.708333333
104,106,111,110,107.208333333,107.416666667
104,106,111,110,107.291666667,107.791666667
103,105,112,110,106.916666667,107.583333333
104,105,112,110,106.5,107.75
103,106,109,111,107.166666667,108.166666667
103,105,109,110,106.125,107.375
104,104,111,110,107.083333333,106.833333333
105,106,110,111,107.208333333,108.041666667
104,106,108,110,106.333333333,107.458333333
105,105,109,110,106.458333333,107.416666667
105,105,109,110,106.833333333,107.5
104,104,109,110,106.791666667,107.916666667
105,106,111,109,107.458333333,107.666666667
103,106,110,111,106.875,108.125
104,105,110,109,106.416666667,107.083333333
105,106,110,111,107.083333333,108.166666667
104,106,111,110,107.583333333,108.333333333
103,106,109,110,106.083333333,107.666666667
104,104,111,110,107.458333333,107.208333333
105,105,109,110,106.791666667,107.791666667
104,105,110,110,106.791666667,107.583333333
104,106,111,111,107.125,107.916666667
105,106,111,110,107.625,107.833333333
104,105,110,110,106.875,107.541666667
103,106,111,110,107.083333333,108.416666667
104,106,109,110,106.458333333,108.25
103,106,111,109,106.541666667,107.125
105,106,109,111,107.25,108.083333333
